stake_address,payment_address,reward
stake1u954jvraxhnspwl2gw728r757he7c3xyk45nv2h8p3xyl7grzg6hw, addr1q86crmr4awayf9elhxy3ftenltt4rrnfc5a6zap3w3pjpjtftyc86d08qza75sau5w8afa0na3zvfdtfxc4wwrzvflus7wxvh7,564
stake1u8hz6ay93dasgtdp4nytvmyhxcma4hq7nl4mg8csz2mu8vckzs5dd, addr1q99ely0vk2mlhgx875ckh6j3m3qxmjnx7k7c8yar40jnjkhw946gtzmmqsk6rtxgkekfwd3hmtwpa8ltks03qy4hcwesgsyhwa,559
stake1uxnqwf3klgfxgqawy0a7z0wzxmtu49k39utw683accfd8vszv5spw, addr1q9lj6e2x335qyhwx7h2cx98pqrn0wuam8jlu8hwc0klca09xqunrd7sjvsp6uglmuy7uydkhe2tdztcka50rm3sj6weq9yndzz,547
stake1u9p2vp9ueee258770xxn44uzszk60zydpcmchy8qawzlk5s8dfuc3, addr1q8v0w08djxf0fygd7m6va56xcn6hwx5nx9upm6k0spy5ee2z5cztennj4g0au7vd8ttc9q9d57yg6r3h3wgwp6u9ldfq0hgruv,518
stake1uyepnmps8w0eltxjcm6f4522fm2es2m920dyay8rr94phzquxu292, addr1q929tgha06jk8k70fkk0ye7e6gexk7muu2uzzs84x6sm3zpjr8krqwuln7kd93h5ntg55nk4nq4k2576f6gwxxt2rwyq9j70tc,508
stake1ux9xljzty64aw4q65qn89tkl9d8law30qmqcmus0kpkrruc8lmeh4, addr1q94y5auaeas0det0mur70u87wce607f0n54dffx48322hsu2dlyykf4t6a2p4gpxw2hd7260l6az7pkp3heqlvrvx8eseywj8g,482
stake1u9ce30m4gl0tz3qgu39p6p2ay9hjmhzksle49whelnqg2uc8j2nt5, addr1qxw2qkwzesj0wfa30u6lpykxym2x6w3dj27clm5uun8lgun3nzlh2377k9zq3ez2r5z46gt09hw9dpln22a0nlxqs4eswc0e9e,472
stake1u8y8mun3hnuy6w5es8nxwmv6wuydyx6x0dszgavernv427c9l340h, addr1q80na57rg5cwm33px9yyz29dw0z2y44gjaxk55hvs3dkfmwg0he8r08cf5afnq0xvake5acg6gd5v7mqy36ej8xe24asrp99kv,465
stake1u9pm6wzxpfwu0lfqw93q5e2v5756vhcq9u8m0dktflderzgw7czzj, addr1qxm8juksez8x4e8yj6c3cjwm3ytcs5s6qredf6p39td0ax6rh5uyvzjacl7jqutzpfj5efaf5e0sqtc0k7mvkn7mjxystg87lg,445
stake1uxppdqsguhlzxrfu0ztf979h8u8euzd2ztnycs2926tlz2sum4axv, addr1qywu7tl42z396qyj5zydluezftv8890lgvxrvpt5zl7048uzz6pq3e07yvxnc7ykjtutw0c0ncy65yhxf3q5245h7y4qcyhj67,437
stake1u990yd2pql8m7fm8xgqjdyh3z4gqaxtt4j7y58gns7dwregtsplrs, addr1q8vuf8rl3uzxr9g9vf4lheja466jvqkkng85fkxqpkcs87627g65zp70hunkwvspy6f0z92sp6vkht9ufgw38pu6u8jsat8z6q,432
stake1u84xderm5nlp2ryp3fvdmgvkqr4cpgt3p5d3slvgxq6sg3cwlwlh6, addr1q9xpwcqs5ws96azm38n0p0jgtzv4r53y0jqk3lynmptgqul2vmj8hf87z5xgrzjcmksevq8tszshzrgmrp7csvp4q3rsl02ypm,427
stake1uxegmgupm09nxuzj2x340w400j3h0p768dlyvwd2eht3hgg0h5hdy, addr1qyh09fhw6z3jmshcdekweapcgr0qwnakh9jtf38ye4l5mq4j3k3crk7txdc9y5dr27a27l9rw7ra5wm7gcu64nwhrwssn6gual,417
stake1u9f7rykwfhsl835yamqxwzq8pt48d6lh3n4urw0wn4s7kvqdhz2ru, addr1q8z646824fzfe959ffj0aprv2t2y4pjz573jmctn4v4wnw2nuxfvun0p70rgfmkqvuyqwzh2wm4l0r8tcxu7a8tpavcquqnrnh,415
stake1u8zwldt73yawv6gdsg4w2nhchh78ealyfsljsnw7pzgp0fggry3cw, addr1q9ac28lp5lljgtkrs3w7cefznudmh4zkdjw8x9eykewsq6xya76hazf6ue5smq32u480300u0nm7gnpl9pxauzysz7jsu9wwut,402
stake1u88yw9sdqc8hm4x6rgnge2stnzcuu9aydgc0v6fe5f4t6mskfzqfw, addr1qycfsn387v9q0qrlea55k4pqlqldmelc448l6lhz3pk8jfwwgutq6ps00h2d5x3x3j4qhx93ect6g63s7e5nngn2h4hqs4x8a3,399
stake1uylz8pverul759jf96ck9rguhtdana5p3rks34gfu5m8l4czmx69z, addr1qyjhsn4r6ldfrnkedcsuwj7sguzjcm3ptay4n4fskw4e4s37ywzej8elagtyjt43v2x3ewkmm8mgrz8dpr2snefk0lts4kwn8p,394
